"Publisher.ID","Publisher.Name","Keyword.ID","Keyword","Match.Type","Campaign","Keyword.Group","Category","Bid.Strategy","Keyword.Type","Status","Search.Engine.Bid","Clicks","Click.Charges","Avg..Cost.per.Click","Impressions","Engine.Click.Thru..","Avg..Pos.","Trans..Conv...","Total.Cost..Trans.","Amount","Total.Cost","Total.Volume.of.Bookings"
"K2615","Yahoo - US",43000000039657984,"fly to florence","Advanced","Western Europe Destinations","Florence","uncategorized","","Unassigned","Live",6.25,1,2.31,2.31,11,9.09,1.27,900,0.26,8777.95,2.31,9
"K2615","Yahoo - US",43000000039651112,"low international airfare","Advanced","Geo Targeted DC","Low International DC","uncategorized","","Unassigned","Paused",6.25,1,0.63,0.63,6,16.67,1,100,0.63,1574.2,0.63,1
"K2003","MSN - Global",43000000019452432,"air discount france ticket","Broad","Air France Brand & French Destinations","France","uncategorized","Position 2-5 Bid Strategy","Unassigned","Deactivated",0,1,0.39,0.39,9,11.11,1.11,100,0.39,390.15,0.39,1
"K1175","Google - Global",43000000005663328,"[airfrance]","Exact","Air France Global Campaign","Air France","airfrance","Position 1- 3","Unassigned","Unavailable",7.5,59,2.31,0.04,401,14.71,2,3.39,1.16,1665.15,2.31,2
"K1123","Overture - Global",43000000005421352,"air france online booking","Standard","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.25,8,2.2,0.28,318,2.52,2.98,12.5,2.2,935,2.2,1
"K1123","Overture - Global",43000000005421144,"airfrance,com","Standard","Unassigned","Unassigned","airfrancewebsite","Position 1-2 Target","Unassigned","Paused",0.13,42,5.25,0.13,722,5.82,1.13,4.76,2.63,1817.3,5.25,2
"K435","Google - US",43000000014110440,"paris cheap airline","Broad","Geo Targeted San Francisco","San Francisco to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Paused",6.25,3,5.21,1.74,13,23.08,1,33.33,5.21,1685.55,5.21,1
"K1122","Overture - US",43000000014278680,"airfrance.us","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unassigned","Paused",0.33,47,11.8,0.25,547,8.59,1.18,4.26,5.9,3796.1,11.8,2
"K1123","Overture - Global",43000000005421376,"air travel to paris","Standard","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Unavailable",7.5,13,5.21,0.4,448,2.9,1.86,7.69,5.21,1513,5.21,1
"K1175","Google - Global",43000000019449168,"air france site","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","","Unassigned","Unavailable",5,19,8.24,0.43,129,14.73,1.03,5.26,8.24,2348.55,8.24,1
"K1123","Overture - Global",43000000005421296,"cheap fare to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Unassigned","Sent",0.69,29,26.61,0.92,559,5.19,2.33,6.9,13.31,7418.8,26.61,2
"K1122","Overture - US",43000000014278800,"air france.com","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Unassigned","Paused",0.31,273,46.35,0.17,3171,8.61,1.01,3.66,4.63,11271.85,46.35,10
"K435","Google - US",43000000017532136,"air france us","Broad","Air France Branded","Air France Website","uncategorized","","Unassigned","Live",10,231,99.55,0.43,1277,18.09,1.02,8.66,4.98,23076.65,99.55,20
"K435","Google - US",43000000017532128,"airfrance","Broad","Air France Branded","Air France Website","uncategorized","","Unassigned","Paused",10,907,235.11,0.26,4352,20.84,1.01,2.87,9.04,48551.15,235.11,26
"K1122","Overture - US",43000000014278800,"cdg flight","Standard","Unassigned","Unassigned","paris","Position 2-5 Bid Strategy","Unassigned","Paused",0.13,18,4.75,0.26,169,10.65,1.66,5.56,4.75,896.75,4.75,1
"K435","Google - US",43000000017532136,"airfrance us","Broad","Air France Branded","Air France Website","uncategorized","","Unassigned","Live",10,207,30.79,0.15,730,28.36,1,2.42,6.16,5733.25,30.79,5
"K435","Google - US",43000000014113400,"france airline ticket","Broad","Geo Targeted New York","New York to France Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Live",6.25,2,2.69,1.34,24,8.33,1.54,50,2.69,494.7,2.69,1
"K435","Google - US",43000000013069000,"airfrance website","Broad","Air France Branded","Air France Website","uncategorized","Position 2-5 Bid Strategy","Unassigned","Live",0.71,10,9.94,0.99,80,12.5,1.06,10,9.94,1815.6,9.94,1
"K1123","Overture - Global",43000000005420920,"airplane france ticket","Advanced","Unassigned","Unassigned","airline","Position 1-2 Target","Unassigned","Paused",0.44,16,8.31,0.52,6073,0.26,2.46,6.25,8.31,1473.9,8.31,1
"K435","Google - US",43000000014115424,"france airfare sale","Broad","Geo Targeted Miami","Miami to France Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Paused",6.25,1,2.76,2.76,2,50,1,100,2.76,470.05,2.76,1
"K1123","Overture - Global",43000000005421432,"air france schedule","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Unassigned","Paused",0.33,30,10.71,0.36,2192,1.37,1.52,3.33,10.71,1785,10.71,1
"K1123","Overture - Global",43000000009683632,"airfare to tahiti","Standard","Unassigned","Unassigned","tahiti","","Unassigned","Paused",10,6,12.27,2.05,102,5.88,4.16,16.67,12.27,1989,12.27,1
"K435","Google - US",43000000014122528,"france flights","Broad","Geo Targeted DC","DC to France Sale","uncategorized","Position 5-10 Bid Strategy","Unassigned","Unavailable",6.25,6,18.35,3.06,137,4.38,1.2,50,6.12,2810.1,18.35,3
"K435","Google - US",43000000014201104,"international airfares","Broad","Geo Targeted Detroit","International Detroit","uncategorized","Position 5-10 Bid Strategy","Unassigned","Unavailable",6.25,2,6.6,3.3,79,2.53,3.01,50,6.6,923.95,6.6,1
